Date,Open,High,Low,Close,Forecast
1996-01-14,105.22,106.26,104.84,105.34,1
1996-01-21,105.3,107.55,105.26,106.65,0
1996-01-28,106.65,107.62,106.27,106.45,0
1996-02-04,106.36,107.45,104.6,107.03,0
1996-02-11,107.05,107.16,104.78,105.2,0
1996-02-18,105.08,106.6,103.54,104.85,0
1996-02-25,104.82,105.87,103.3,105.35,0
1996-03-03,105.29,106.16,104.84,105.75,1
1996-03-10,106.11,106.41,104.95,105.8,0
1996-03-17,105.89,107.23,105.65,106.85,1
1996-03-24,106.57,107.28,105.9,107.19,0
1996-03-31,107.3,108.0,106.6,107.66,1
1996-04-07,107.73,109.03,107.2,108.67,1
1996-04-14,108.7,108.92,106.2,107.35,0
1996-04-21,107.43,107.6,105.14,105.45,0
1996-04-28,105.32,105.7,103.75,105.05,0
1996-05-05,104.9,105.66,104.5,105.48,0
1996-05-12,105.3,107.13,104.75,106.81,0
1996-05-19,106.65,108.0,106.55,107.9,1
1996-05-26,107.9,109.03,106.68,108.08,1
1996-06-02,107.96,109.56,107.35,109.31,1
1996-06-09,109.2,109.75,107.85,109.23,1
1996-06-16,109.12,109.27,107.6,109.16,1
1996-06-23,108.85,110.0,108.62,109.72,1
1996-06-30,109.74,110.94,109.46,110.81,1
1996-07-07,110.84,111.22,109.89,110.91,1
1996-07-14,110.52,110.9,107.75,107.82,0
1996-07-21,107.94,108.9,106.88,108.34,0
1996-07-28,108.32,108.65,106.3,106.81,0
1996-08-04,106.85,108.44,106.4,108.22,0
1996-08-11,108.13,108.28,107.39,107.72,0
1996-08-18,107.67,108.73,107.63,108.12,0
1996-08-25,108.03,108.97,107.41,108.95,0
1996-09-01,108.93,109.47,108.61,109.22,0
1996-09-08,109.14,110.58,108.82,110.41,0
1996-09-15,110.42,110.62,108.8,110.0,0
1996-09-22,109.96,110.98,108.95,110.84,0
1996-09-29,110.8,112.12,110.78,111.85,1
1996-10-06,111.8,112.0,110.85,111.57,0
1996-10-13,111.6,112.68,111.46,112.45,1
1996-10-20,112.41,113.47,111.94,113.43,1
1996-10-27,113.36,114.96,112.89,113.38,1
1996-11-03,113.1,114.72,111.26,111.78,0
1996-11-10,111.53,112.01,110.55,111.03,0
